temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day
26.19,31.23,0.0,0.0,1020.0,608.14,0.0,0.0
25.23,33.01,0.0,0.0,1020.0,418.04,0.0,0.0
22.28,44.14,0.0,0.0,1020.67,214.19,0.0,0.0
21.1,50.91,0.0,0.0,1020.92,43.59,0.0,0.0
20.71,51.79,0.0,0.0,1021.0,1.59,0.0,0.0
20.28,52.08,0.0,0.0,1021.0,2.28,0.0,0.0
19.41,60.08,0.0,0.0,1021.0,2.03,0.0,0.0
19.22,67.44,0.0,0.0,1020.42,1.15,0.0,0.0
19.41,69.11,0.0,0.0,1020.0,1.05,0.0,0.0
18.96,72.3,0.0,0.0,1020.0,0.5,0.0,0.0
18.53,74.18,0.0,0.0,1020.0,0.64,0.0,0.0
18.46,74.27,0.0,0.0,1019.92,0.71,0.0,0.0
18.48,74.01,0.0,0.0,1019.42,0.73,0.0,0.0
18.49,73.81,0.0,0.0,1020.0,0.96,0.0,0.0
18.83,72.8,0.0,0.0,1020.0,22.09,0.0,0.0
20.08,66.42,0.0,0.0,1020.0,170.56,0.0,0.0
21.41,59.4,0.0,0.0,1020.0,366.72,0.0,0.0
22.68,52.82,0.0,0.0,1020.0,559.07,0.0,0.0
25.27,44.17,0.0,0.0,1020.0,723.35,0.0,0.0
27.08,40.04,0.0,0.0,1019.83,844.0,0.0,0.0
28.9,33.01,0.0,0.0,1019.0,909.75,0.0,0.0
29.4,30.53,0.0,0.0,1018.92,925.08,0.0,0.0
29.25,29.95,0.0,0.0,1018.0,886.5,0.0,0.0
28.72,29.84,0.0,0.0,1018.0,792.33,0.0,0.0
27.01,34.87,0.0,0.0,1018.0,648.49,0.0,0.0
24.85,40.79,0.0,0.0,1018.0,467.17,0.0,0.0
23.22,41.9,0.0,0.0,1018.0,265.32,0.0,0.0
21.68,46.06,0.0,0.0,1018.0,76.01,0.0,0.0
20.91,48.54,0.0,0.0,1018.25,1.29,0.0,0.0
19.81,60.2,0.0,0.0,1019.0,0.6,0.0,0.0
19.07,65.68,0.0,0.0,1019.08,0.33,0.0,0.0
19.11,63.42,0.0,0.0,1019.17,0.32,0.0,0.0
18.44,67.26,0.0,0.0,1019.0,0.29,0.0,0.0
18.16,69.18,0.0,0.0,1019.0,0.33,0.0,0.0
17.98,71.26,0.0,0.0,1019.0,0.19,0.0,0.0
17.78,71.94,0.0,0.0,1018.08,0.36,0.0,0.0
17.47,74.18,0.0,0.0,1018.17,0.24,0.0,0.0
17.98,72.29,0.0,0.0,1018.58,0.2,0.0,0.0
18.71,69.0,0.0,0.0,1018.17,11.02,0.0,0.0
19.22,65.19,0.0,0.0,1019.0,143.5,0.0,0.0
19.76,64.73,0.0,0.0,1019.0,340.27,0.0,0.0
21.93,53.8,0.0,0.0,1019.0,529.98,0.0,0.0
24.02,44.73,0.0,0.0,1019.0,704.32,0.0,0.0
24.87,42.84,0.0,0.0,1019.0,832.33,0.0,0.0
25.65,39.85,0.0,0.0,1019.0,909.5,0.0,0.0
26.49,39.32,0.0,0.0,1018.83,930.67,0.0,0.0
26.35,41.8,0.0,0.0,1018.08,893.5,0.0,0.0
26.36,41.09,0.0,0.0,1018.0,796.33,0.0,0.0
25.71,43.02,0.0,0.0,1018.0,654.64,0.0,0.0
25.31,43.29,0.0,0.0,1017.58,481.57,0.0,0.0
24.36,45.64,0.0,0.0,1017.33,276.56,0.0,0.0
22.8,45.36,0.0,0.0,1017.92,81.46,0.0,0.0
21.6,49.97,0.0,0.0,1018.0,1.04,0.0,0.0
21.22,52.62,0.0,0.0,1018.75,0.57,0.0,0.0
20.69,56.33,0.0,0.0,1019.0,0.63,0.0,0.0
20.05,62.6,0.0,0.0,1019.0,0.42,0.0,0.0
19.6,65.92,0.0,0.0,1019.0,0.29,0.0,0.0
19.23,66.35,0.0,0.0,1019.0,0.23,0.0,0.0
19.1,64.22,0.0,0.0,1018.5,0.38,0.0,0.0
18.82,64.24,0.0,0.0,1018.0,0.43,0.0,0.0
18.45,65.37,0.0,0.0,1018.0,0.33,0.0,0.0
18.29,64.33,0.0,0.0,1018.0,0.28,0.0,0.0
18.34,63.05,0.0,0.0,1018.0,12.1,0.0,0.0
18.82,62.25,0.0,0.0,1018.0,113.39,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
18.9,61.97,0.0,0.0,1018.0,129.1,0.0,0.0
21.81,59.14,0.0,0.0,1017.25,381.02,0.0,0.0
23.65,60.29,0.0,0.0,1017.0,616.75,0.0,0.0
24.2,59.19,0.0,0.0,1017.0,758.58,0.0,0.0
25.37,55.58,0.0,0.0,1017.0,848.83,0.0,0.0
26.27,52.1,0.0,0.0,1016.25,888.83,0.0,0.0
26.15,52.4,0.0,0.0,1016.0,869.17,0.0,0.0
26.77,50.62,0.0,0.0,1015.17,788.75,0.0,0.0
26.76,50.71,0.0,0.0,1015.0,649.21,0.0,0.0
27.5,48.37,0.0,0.0,1014.92,475.51,0.0,0.0
27.49,47.99,0.0,0.0,1014.08,280.97,0.0,0.0
25.06,54.99,0.0,0.0,1015.0,95.42,0.0,0.0
23.96,60.03,0.0,0.0,1015.33,4.23,0.0,0.0
23.47,63.74,0.0,0.0,1016.0,0.54,0.0,0.0
22.55,66.26,0.0,0.0,1016.25,0.59,0.0,0.0
22.37,67.01,0.0,0.0,1017.0,0.44,0.0,0.0
22.28,67.98,0.0,0.0,1016.58,0.34,0.0,0.0
21.56,68.43,0.0,0.0,1016.75,0.44,0.0,0.0
20.63,71.92,0.0,0.0,1017.0,0.36,0.0,0.0
19.88,73.54,0.0,0.0,1017.0,0.54,0.0,0.0
19.94,72.73,0.0,0.0,1017.0,0.39,0.0,0.0
18.94,74.38,0.0,0.0,1017.0,0.29,0.0,0.0
18.8,75.82,0.0,0.0,1017.0,1.29,0.0,0.0
18.82,75.83,0.0,0.0,1017.42,60.45,0.0,0.0
19.85,73.72,0.0,0.0,1018.0,236.69,0.0,0.0
22.68,62.59,0.0,0.0,1018.0,435.63,0.0,0.0
23.68,57.39,0.0,0.0,1018.58,615.51,0.0,0.0
24.84,55.21,0.0,0.0,1018.58,754.34,0.0,0.0
26.82,47.67,0.0,0.0,1018.0,851.33,0.0,0.0
27.86,43.37,0.0,0.0,1017.33,893.42,0.0,0.0
28.16,42.7,0.0,0.0,1017.0,879.42,0.0,0.0
27.72,43.99,0.0,0.0,1016.42,803.17,0.0,0.0
28.46,41.8,0.0,0.0,1016.0,676.16,0.0,0.0
27.37,42.59,0.0,0.0,1016.0,505.94,0.0,0.0
25.14,44.42,0.0,0.0,1016.0,307.67,0.0,0.0
25.53,43.86,0.0,0.0,1016.0,101.75,0.0,0.0
22.57,50.51,0.0,0.0,1016.0,3.05,0.0,0.0
22.2,47.98,0.0,0.0,1016.0,0.46,0.0,0.0
22.86,39.08,0.0,0.0,1017.0,0.38,0.0,0.0
20.81,47.6,0.0,0.0,1017.0,0.32,0.0,0.0
20.67,49.83,0.0,0.0,1016.58,0.3,0.0,0.0
21.11,45.96,0.0,0.0,1016.67,0.3,0.0,0.0
21.51,42.6,0.0,0.0,1016.0,0.38,0.0,0.0
18.96,59.0,0.0,0.0,1016.17,0.63,0.0,0.0
17.74,68.55,0.0,0.0,1016.0,0.57,0.0,0.0
18.13,67.4,0.0,0.0,1016.0,0.49,0.0,0.0
18.4,65.53,0.0,0.0,1016.33,1.27,0.0,0.0
18.78,64.29,0.0,0.0,1017.0,62.83,0.0,0.0
20.57,58.43,0.0,0.0,1017.0,238.97,0.0,0.0
22.53,44.68,0.0,0.0,1017.0,441.08,0.0,0.0
24.37,43.28,0.0,0.0,1017.0,611.62,0.0,0.0
26.31,37.43,0.0,0.0,1017.0,764.04,0.0,0.0
27.12,35.04,0.0,0.0,1016.83,879.17,0.0,0.0
27.69,33.19,0.0,0.0,1016.08,874.91,0.0,0.0
26.97,38.95,0.0,0.0,1016.0,685.53,0.0,0.0
26.16,39.73,0.0,0.0,1016.0,696.63,0.0,0.0
25.76,33.63,0.0,0.0,1016.0,540.52,0.0,0.0
25.17,32.94,0.0,0.0,1016.0,347.97,0.0,0.0
23.63,39.76,0.0,0.0,1016.0,236.74,0.0,0.0
21.92,48.97,0.0,0.0,1016.0,101.15,0.0,0.0
20.43,57.93,0.0,0.0,1016.83,4.56,0.0,0.0
18.8,67.95,0.0,0.0,1017.0,0.54,0.0,0.0
18.31,71.88,0.0,0.0,1017.42,0.54,0.0,0.0
17.88,73.65,0.0,0.0,1018.0,0.42,0.0,0.0
17.47,74.98,0.0,0.0,1018.0,0.58,0.0,0.0
17.13,75.91,0.0,0.0,1017.83,0.36,0.0,0.0
16.93,76.21,0.0,0.0,1017.42,0.35,0.0,0.0
16.79,76.68,0.0,0.0,1017.0,0.44,0.0,0.0
16.82,75.82,0.0,0.0,1017.0,0.46,0.0,0.0
16.88,74.72,0.0,0.0,1017.0,0.34,0.0,0.0
16.94,72.57,0.0,0.0,1017.75,1.05,0.0,0.0
17.16,71.05,0.0,0.0,1018.0,54.33,0.0,0.0
17.95,67.51,0.0,0.0,1018.0,226.75,0.0,0.0
18.83,64.06,0.0,0.0,1018.0,427.07,0.0,0.0
20.15,57.51,0.0,0.0,1018.33,603.55,0.0,0.0
21.17,50.17,0.0,0.0,1018.75,732.41,0.0,0.0
23.28,41.24,0.0,0.0,1018.0,853.58,0.0,0.0
25.37,38.05,0.0,0.0,1018.0,894.42,0.0,0.0
26.63,36.4,0.0,0.0,1017.42,790.72,0.0,0.0
26.78,32.48,0.0,0.0,1017.0,739.81,0.0,0.0
25.58,32.86,0.0,0.0,1017.0,716.06,0.0,0.0
24.48,37.26,0.0,0.0,1017.0,521.02,0.0,0.0
23.01,42.2,0.0,0.0,1017.0,326.78,0.0,0.0
21.33,47.47,0.0,0.0,1017.0,126.18,0.0,0.0
20.04,56.16,0.0,0.0,1017.17,5.91,0.0,0.0
18.42,64.8,0.0,0.0,1018.0,0.66,0.0,0.0
17.63,68.21,0.0,0.0,1018.0,0.54,0.0,0.0
17.07,69.85,0.0,0.0,1018.0,0.57,0.0,0.0
16.81,69.72,0.0,0.0,1018.0,0.71,0.0,0.0
16.47,70.85,0.0,0.0,1018.0,0.39,0.0,0.0
16.29,71.16,0.0,0.0,1017.5,0.54,0.0,0.0
15.93,72.41,0.0,0.0,1017.0,0.5,0.0,0.0
15.66,72.68,0.0,0.0,1017.0,0.57,0.0,0.0
15.53,71.39,0.0,0.0,1017.0,0.4,0.0,0.0
15.13,72.53,0.0,0.0,1017.0,0.61,0.0,0.0
15.34,70.99,0.0,0.0,1017.0,46.68,0.0,0.0
16.48,64.68,0.0,0.0,1017.0,224.58,0.0,0.0
18.23,56.76,0.0,0.0,1017.42,433.3,0.0,0.0
19.59,49.76,0.0,0.0,1017.25,627.52,0.0,0.0
21.14,41.71,0.0,0.0,1017.0,762.62,0.0,0.0
22.61,42.3,0.0,0.0,1016.92,843.64,0.0,0.0
23.66,36.83,0.0,0.0,1016.0,848.83,0.0,0.0
26.17,28.36,0.0,0.0,1015.5,924.83,0.0,0.0
26.5,28.26,0.0,0.0,1015.0,793.66,0.0,0.0
26.75,31.6,0.0,0.0,1014.5,692.97,0.0,0.0
27.06,28.57,0.0,0.0,1014.67,521.38,0.0,0.0
25.86,24.97,0.0,0.0,1015.0,208.32,0.0,0.0
24.28,23.33,0.0,0.0,1014.08,63.06,0.0,0.0
22.94,26.7,0.0,0.0,1014.17,3.19,0.0,0.0
21.99,27.47,0.0,0.0,1015.0,0.24,0.0,0.0
20.87,31.27,0.0,0.0,1015.0,0.37,0.0,0.0
20.06,36.65,0.0,0.0,1015.0,0.58,0.0,0.0
19.83,37.33,0.0,0.0,1014.75,0.38,0.0,0.0
19.81,39.06,0.0,0.0,1014.0,0.51,0.0,0.0
20.12,38.07,0.0,0.0,1014.25,0.47,0.0,0.0
19.69,42.33,0.0,0.0,1013.83,0.48,0.0,0.0
19.71,43.18,0.0,0.0,1013.67,0.45,0.0,0.0
19.34,45.39,0.0,0.0,1013.83,0.53,0.0,0.0
19.47,46.05,0.0,0.0,1013.33,0.76,0.0,0.0
19.01,49.27,0.0,0.0,1013.0,32.86,0.0,0.0
19.13,54.56,0.0,0.0,1013.0,174.49,0.0,0.0
20.77,43.62,0.0,0.0,1013.0,340.92,0.0,0.0
22.89,38.4,0.0,0.0,1013.0,503.43,0.0,0.0
25.46,30.43,0.0,0.0,1013.0,768.2,0.0,0.0
25.16,30.52,0.0,0.0,1012.83,901.17,0.0,0.0
25.24,26.81,0.0,0.0,1012.0,880.19,0.0,0.0
24.91,29.65,0.0,0.0,1012.67,761.46,0.0,0.0
25.28,33.4,0.0,0.0,1012.0,560.38,0.0,0.0
25.38,29.88,0.0,0.0,1012.08,573.55,0.0,0.0
25.7,34.02,0.0,0.0,1012.0,503.37,0.0,0.0
23.99,39.53,0.0,0.0,1012.0,320.32,0.0,0.0
22.01,46.26,0.0,0.0,1012.0,117.16,0.0,0.0
21.11,52.29,0.0,0.0,1013.0,5.51,0.0,0.0
20.37,58.14,0.0,0.0,1013.0,1.77,0.0,0.0
19.82,61.67,0.0,0.0,1013.0,1.61,0.0,0.0
19.76,62.39,0.0,0.0,1013.0,1.43,0.0,0.0
19.58,64.97,0.0,0.0,1013.0,1.0,0.0,0.0
19.45,66.92,0.0,0.0,1013.0,1.08,0.0,0.0
18.78,73.13,0.0,0.0,1013.0,0.72,0.0,0.0
18.58,75.62,0.0,0.0,1013.0,0.59,0.0,0.0
18.49,75.43,0.0,0.0,1013.0,0.54,0.0,0.0
18.17,75.38,0.0,0.0,1013.0,0.51,0.0,0.0
17.65,76.94,0.0,0.0,1013.0,0.59,0.0,0.0
17.24,77.64,0.0,0.0,1013.0,40.99,0.0,0.0
18.41,72.0,0.0,0.0,1013.0,214.48,0.0,0.0
20.08,63.1,0.0,0.0,1013.33,411.52,0.0,0.0
21.31,59.0,0.0,0.0,1014.0,377.48,0.0,0.0
20.95,59.94,0.0,0.0,1014.0,585.76,0.0,0.0
21.25,53.79,0.0,0.0,1014.0,913.42,0.0,0.0
21.16,52.52,0.0,0.0,1014.0,895.92,0.0,0.0
20.99,56.49,0.0,0.0,1014.0,875.75,0.0,0.0
20.73,57.09,0.0,0.0,1013.75,800.83,0.0,0.0
20.94,56.36,0.0,0.0,1013.0,676.97,0.0,0.0
20.94,55.71,0.0,0.0,1013.0,510.02,0.0,0.0
20.51,57.51,0.0,0.0,1013.0,313.18,0.0,0.0
19.55,67.1,0.0,0.0,1013.0,102.75,0.0,0.0
18.67,74.02,0.0,0.0,1013.0,3.2,0.0,0.0
18.22,76.85,0.0,0.0,1014.0,0.41,0.0,0.0
18.22,76.72,0.0,0.0,1014.0,0.62,0.0,0.0
17.91,78.35,0.0,0.0,1014.0,0.5,0.0,0.0
17.75,78.88,0.0,0.0,1014.0,0.41,0.0,0.0
18.0,77.67,0.0,0.0,1014.0,0.5,0.0,0.0
17.94,78.89,0.0,0.0,1014.0,0.23,0.18,0.18
17.47,80.78,0.0,0.0,1014.0,0.12,0.14,0.3
17.31,80.74,0.0,0.0,1014.0,0.16,0.0,0.3
17.21,80.51,0.0,0.0,1014.0,0.21,0.0,0.3
17.05,80.19,0.0,0.0,1014.0,0.23,0.0,0.3
16.7,81.59,0.0,0.0,1014.0,40.33,0.0,0.3
17.47,78.86,0.0,0.0,1014.0,219.71,0.0,0.3
18.3,72.77,0.0,0.0,1014.92,272.57,0.0,0.3
19.27,66.97,0.0,0.0,1015.0,333.73,0.0,0.3
20.28,60.74,0.0,0.0,1015.0,236.82,0.0,0.3
19.76,64.8,0.0,0.0,1015.0,583.65,1.07,1.37
20.7,59.51,0.0,0.0,1015.0,987.32,0.04,1.4
20.04,61.75,0.0,0.0,1014.92,676.34,0.01,1.41
17.05,75.86,0.0,0.0,1015.0,92.22,0.7,2.11
17.3,74.08,0.0,0.0,1015.0,166.39,1.14,3.23
19.66,61.77,0.0,0.0,1014.25,474.08,0.08,3.3
19.86,63.12,0.0,0.0,1014.58,260.61,0.0,3.3
19.7,59.42,0.0,0.0,1014.75,103.62,0.0,3.3
18.46,66.86,0.0,0.0,1015.0,5.76,0.0,3.3
18.0,69.48,0.0,0.0,1015.5,0.25,0.0,3.3
17.91,71.42,0.0,0.0,1016.0,0.17,0.0,3.3
17.59,72.8,0.0,0.0,1016.0,0.34,0.0,3.3
17.54,73.05,0.0,0.0,1016.0,0.28,0.0,3.3
17.12,75.93,0.0,0.0,1015.5,0.12,0.0,0.55
17.1,76.31,0.0,0.0,1015.0,0.19,0.0,0.0
16.9,77.5,0.0,0.0,1015.0,0.15,0.0,0.0
16.74,78.78,0.0,0.0,1015.0,0.15,0.0,0.0
16.8,79.12,0.0,0.0,1015.0,0.17,0.0,0.0
16.8,78.84,0.0,0.0,1015.0,0.18,0.0,0.0
17.01,77.88,0.0,0.0,1015.0,4.2,0.0,0.0
17.38,76.7,0.0,0.0,1015.75,46.3,0.0,0.0
17.33,77.02,0.0,0.0,1016.0,112.31,0.12,0.12
17.76,76.27,0.0,0.0,1016.5,264.83,0.13,0.25
19.33,69.11,0.0,0.0,1016.0,348.13,0.05,0.3
20.18,62.57,0.0,0.0,1016.0,724.0,0.0,0.3
20.62,60.16,0.0,0.0,1015.83,432.78,0.0,0.3
20.98,58.08,0.0,0.0,1015.0,441.92,0.0,0.3
21.31,55.16,0.0,0.0,1014.67,517.51,0.0,0.3
21.56,55.0,0.0,0.0,1014.0,522.67,0.0,0.3
20.81,60.61,0.0,0.0,1014.0,401.3,0.0,0.3
20.58,61.31,0.0,0.0,1014.0,301.74,0.0,0.3
19.9,64.17,0.0,0.0,1014.0,114.1,0.0,0.3
19.41,66.69,0.0,0.0,1014.67,4.2,0.0,0.3
19.06,70.18,0.0,0.0,1015.33,1.35,0.0,0.3
18.8,71.74,0.0,0.0,1016.0,1.29,0.0,0.3
18.42,72.78,0.0,0.0,1016.0,1.25,0.0,0.3
18.02,73.69,0.0,0.0,1015.75,0.9,0.0,0.3
17.6,76.6,0.0,0.0,1015.92,1.02,0.0,0.05
17.58,76.24,0.0,0.0,1016.0,0.9,0.0,0.0
17.25,76.74,0.0,0.0,1016.0,0.75,0.0,0.0
17.09,76.92,0.0,0.0,1016.0,0.84,0.0,0.0
16.85,77.73,0.0,0.0,1016.0,0.72,0.0,0.0
16.72,78.23,0.0,0.0,1016.0,0.51,0.0,0.0
16.69,77.97,0.0,0.0,1017.0,28.54,0.0,0.0
17.32,75.42,0.0,0.0,1017.58,178.37,0.0,0.0
18.99,68.27,0.0,0.0,1018.0,375.57,0.0,0.0
20.38,60.91,0.0,0.0,1018.0,597.93,0.0,0.0
21.8,56.34,0.0,0.0,1017.92,721.97,0.0,0.0
22.29,54.7,0.0,0.0,1017.42,821.0,0.0,0.0
23.39,49.58,0.0,0.0,1017.0,947.08,0.0,0.0
23.73,46.94,0.0,0.0,1017.0,587.67,0.0,0.0
23.42,46.39,0.0,0.0,1016.92,734.18,0.0,0.0
23.06,48.39,0.0,0.0,1016.67,641.83,0.0,0.0
22.39,49.57,0.0,0.0,1016.75,505.68,0.0,0.0
21.36,55.71,0.0,0.0,1017.0,287.68,0.0,0.0
20.13,60.72,0.0,0.0,1017.0,65.43,0.0,0.0
19.46,63.45,0.0,0.0,1017.33,5.59,0.0,0.0
18.69,66.65,0.0,0.0,1018.0,1.33,0.0,0.0
17.99,69.22,0.0,0.0,1018.0,1.5,0.0,0.0
17.88,68.38,0.0,0.0,1018.0,1.32,0.0,0.0
17.42,69.39,0.0,0.0,1018.0,1.09,0.0,0.0
16.92,72.64,0.0,0.0,1018.0,1.3,0.0,0.0
16.61,72.13,0.0,0.0,1018.0,1.24,0.0,0.0
16.18,73.56,0.0,0.0,1018.0,1.14,0.0,0.0
16.08,74.85,0.0,0.0,1017.58,1.85,0.0,0.0
16.18,74.52,0.0,0.0,1017.0,1.31,0.0,0.0
16.32,74.76,0.0,0.0,1017.0,1.22,0.0,0.0
16.67,74.69,0.0,0.0,1017.92,23.77,0.0,0.0
17.15,74.01,0.0,0.0,1018.0,169.04,0.0,0.0
18.29,69.88,0.0,0.0,1018.42,362.88,0.0,0.0
20.07,62.1,0.0,0.0,1019.0,551.0,0.0,0.0
21.41,55.31,0.0,0.0,1019.0,706.72,0.0,0.0
22.71,49.29,0.0,0.0,1018.08,817.83,0.0,0.0
24.08,45.73,0.0,0.0,1018.0,872.92,0.0,0.0
25.22,40.95,0.0,0.0,1017.17,867.08,0.0,0.0
25.59,36.85,0.0,0.0,1017.0,817.0,0.0,0.0
24.81,38.06,0.0,0.0,1016.42,708.63,0.0,0.0
23.61,38.86,0.0,0.0,1016.92,551.42,0.0,0.0
23.15,36.48,0.0,0.0,1016.92,357.48,0.0,0.0
21.51,37.96,0.02,0.15,1017.0,153.32,0.0,0.0
19.88,45.94,0.91,1.97,1017.08,12.87,0.0,0.0
18.76,55.72,0.0,0.0,1018.0,0.21,0.0,0.0
18.35,59.17,1.18,1.49,1018.42,0.43,0.0,0.0
17.82,62.12,6.97,8.53,1019.0,0.76,0.0,0.0
17.54,63.56,8.1,9.69,1018.25,1.0,0.0,0.0
17.48,63.44,6.74,8.03,1018.08,0.94,0.0,0.0
17.21,64.6,7.21,8.76,1018.0,0.98,0.0,0.0
17.02,65.44,6.54,7.86,1018.0,1.55,0.0,0.0
17.18,64.12,6.01,7.17,1018.0,1.58,0.0,0.0
17.44,62.07,6.25,7.32,1017.17,1.13,0.0,0.0
17.52,61.06,6.22,7.48,1017.0,1.17,0.0,0.0
17.15,62.94,6.58,7.8,1017.58,7.39,0.0,0.0
17.48,61.79,6.68,7.78,1018.0,121.36,0.0,0.0
18.39,57.47,3.28,4.13,1018.0,319.31,0.0,0.0
19.9,52.01,5.16,6.21,1019.0,515.54,0.0,0.0
21.29,46.77,4.14,5.3,1019.0,679.53,0.0,0.0
23.85,39.48,3.77,4.78,1018.42,805.92,0.0,0.0
25.27,34.87,4.84,6.33,1018.0,873.17,0.0,0.0
26.49,30.79,4.98,6.5,1018.0,888.75,0.0,0.0
26.87,29.0,6.58,8.09,1017.08,843.58,0.0,0.0
26.02,29.62,7.63,9.27,1017.0,747.76,0.0,0.0
25.83,28.53,7.84,9.48,1017.0,592.82,0.0,0.0
24.55,30.68,7.09,8.62,1017.0,405.73,0.0,0.0
21.68,37.8,8.98,10.75,1017.25,204.5,0.0,0.0
20.1,44.43,8.58,10.42,1017.92,31.15,0.0,0.0
19.44,47.81,9.31,11.07,1018.33,0.36,0.0,0.0
18.88,49.98,8.89,10.78,1019.0,0.25,0.0,0.0
18.61,51.59,7.94,9.29,1019.0,0.27,0.0,0.0
18.8,50.45,6.71,8.07,1019.0,0.28,0.0,0.0
19.33,47.69,4.74,5.79,1019.0,0.18,0.0,0.0
19.24,47.98,4.85,6.06,1019.0,0.17,0.0,0.0
19.37,46.86,4.72,5.58,1018.67,0.2,0.0,0.0
19.58,43.66,4.31,5.3,1018.0,0.36,0.0,0.0
20.22,38.27,4.63,5.37,1018.0,0.33,0.0,0.0
20.37,36.4,6.13,6.75,1018.25,0.24,0.0,0.0
20.09,36.47,6.35,7.67,1019.0,3.08,0.0,0.0
20.38,33.3,6.49,8.03,1019.17,96.1,0.0,0.0
21.05,31.07,5.93,7.59,1020.0,291.65,0.0,0.0
21.45,30.72,6.31,8.03,1020.0,493.07,0.0,0.0
22.46,30.42,5.38,6.62,1020.0,677.68,0.0,0.0
23.71,29.64,4.65,5.74,1020.0,811.92,0.0,0.0
26.08,25.51,2.72,3.54,1020.0,891.25,0.0,0.0
28.27,18.96,2.53,3.44,1019.33,908.83,0.0,0.0
30.36,17.13,1.66,2.6,1019.0,859.08,0.0,0.0
31.3,15.75,1.74,2.33,1018.17,761.08,0.0,0.0
30.9,14.65,2.69,3.5,1018.0,621.88,0.0,0.0
30.23,13.46,4.53,5.45,1018.0,433.63,0.0,0.0
27.89,18.89,4.64,5.68,1018.0,222.83,0.0,0.0
25.82,24.1,5.78,6.69,1018.0,40.27,0.0,0.0
23.79,24.13,6.68,7.9,1018.83,0.37,0.0,0.0
22.89,24.32,5.41,6.48,1019.0,0.38,0.0,0.0
22.25,25.25,3.29,4.11,1019.0,0.42,0.0,0.0
21.5,27.06,2.7,3.25,1019.83,0.43,0.0,0.0
20.98,28.54,4.4,5.12,1019.08,0.39,0.0,0.0
20.8,28.53,4.01,4.82,1019.0,0.33,0.0,0.0
20.56,28.66,3.9,4.57,1018.92,0.43,0.0,0.0
19.98,30.34,3.87,4.59,1018.33,0.47,0.0,0.0
19.38,31.93,3.29,3.98,1018.0,0.51,0.0,0.0
18.9,35.22,4.46,5.28,1018.0,0.4,0.0,0.0
17.84,43.74,3.83,4.51,1018.0,1.61,0.0,0.0
17.98,43.28,4.87,5.81,1018.0,94.39,0.0,0.0
18.84,36.63,2.85,3.63,1018.0,269.62,0.0,0.0
20.02,36.12,2.69,3.31,1018.33,481.95,0.0,0.0
22.02,32.92,2.82,3.48,1018.0,625.38,0.0,0.0
22.8,31.87,3.31,4.57,1018.0,687.4,0.0,0.0
23.21,30.87,4.19,5.3,1018.0,774.58,0.0,0.0
25.16,25.23,4.28,5.74,1018.0,885.75,0.0,0.0
25.11,25.53,5.43,7.19,1017.75,874.25,0.0,0.0
24.32,28.04,6.81,8.18,1017.0,777.42,0.0,0.0
24.31,23.38,8.55,10.21,1017.0,638.86,0.0,0.0
22.57,41.92,7.48,9.25,1017.0,453.93,0.0,0.0
21.84,45.31,6.81,8.57,1017.0,245.73,0.0,0.0
20.88,44.08,7.85,9.08,1017.08,58.05,0.0,0.0
19.61,46.79,5.38,6.75,1018.0,0.89,0.0,0.0
18.67,57.26,3.09,4.28,1018.42,0.76,0.0,0.0
17.98,67.17,3.3,4.42,1019.0,1.99,0.0,0.0
17.92,71.55,4.87,6.0,1019.0,1.97,0.0,0.0
18.15,71.5,4.88,6.02,1019.0,1.64,0.0,0.0
18.21,72.4,3.4,4.11,1019.0,2.03,0.0,0.0
17.97,75.82,3.46,4.34,1018.83,1.7,0.0,0.0
17.84,78.59,3.13,3.88,1018.25,0.55,0.0,0.0
17.8,80.38,2.24,2.87,1018.0,0.09,0.0,0.0
